;title_aline;day_youtube_aline
1028; Live 10/06/21 - Vamos enfrentar a pior variante;2021-06-11
1029; ENG LEO (CJBR) - Flow Podcast #78;2021-06-11
1030; O Mistério dos Quasares;2021-06-11
1031; ESTRELAS IMPOSSÍVEIS;2021-06-11
1032; Você é um Cérebro de Boltzmann?;2021-06-10
1033; O Paradoxo do Hotel Infinito;2021-06-10
1034; O Paradoxo do Teletransporte;2021-06-10
1035; O Paradoxo dos Gêmeos Explicado;2021-06-10
1036; Onde Estão Todas as Civilizações Inteligentes? (O Paradoxo de Fermi);2021-06-10
1037; O Paradoxo de Bootstrap Explicado;2021-06-10
1038; AVIÕES E MÚSICAS (LITO SOUSA) - Inteligência Ltda. Podcast #045;2021-06-10
1039; SPACE TODAY - Inteligência Ltda. Podcast #113;2021-06-10
1040; Como Fotografar um Buraco Negro;2021-06-10
1041; Os Perigos De Viagens Espaciais;2021-06-10
1042; Como um FOGUETE NUCLEAR Funciona?;2021-06-10
1043; CARLINHOS MAIA - Flow Podcast #390;2021-06-10
1044; PONDÉ - Flow Podcast #391;2021-06-10
1045; SEGUNDA GUERRA MUNDIAL - Nostalgia História;2021-06-10
1046; ADOLF HITLER / HISTÓRIA;2021-06-10
1047; Guerra Fria - EUA vs URSS / Nostalgia HISTÓRIA;2021-06-10
1048; Por Que o Sistema Solar é PLANO?;2021-06-10
1049; TRIZ FALANDO BALELA #051;2021-06-10
1050; Pé na Porta, ADOBE NA CARA | LIVE Edita Comigo, Gaveta!;2021-06-10
1051; Speed Run de ediçao de vídeo | GAVETA;2021-06-10
1052; Botando BRAÇOS EM BICHOS! | GAVETA;2021-06-10
1053; Tosco de PROPÓSITO? Supergirl, Legado de Júpiter, Guardiões e mais | GAVETA;2021-06-10
1054; MITOS DA EDIÇÃO: o que parece fácil, mas é bizarro de fazer | GAVETA;2021-06-10
1055; Mais que 8 Minutos #011 (Lucas Inutilismo);2021-06-10
1056; LUCAS INUTILISMO SE DESENTENDE COM RAFINHA BASTOS;2021-06-10
1057; É IMPOSSIVEL GOSTAR DE K-POP E DO CAUE MOURA com Lucas Inutilismo;2021-06-10
1058; OPTAR POR FICAR SOZINHO É COISA DE PSICOPATA com Lucas Inutilismo;2021-06-10
1059; SinapseQUIZ #3 - O Que é um Vomitório?;2021-06-10
1060; O Que É Energia? | Episódio 1;2021-06-10
1061; Como Funcionam os Resistores e Capacitores?;2021-06-10
1062; As Equações de Maxwell Explicadas;2021-06-10
1063; A História do Eletromagnetismo;2021-06-09
1064; FELIZ 2050;2021-06-09
1065; Como a CRIOGENIA Funciona?;2021-06-09
1066; NÃO ENTRE na TRETA ALHEIA!;2021-06-09
1067; ELE DESAPARECEU do MAPA!;2021-06-09
1068; Mais que 8 Minutos #052 (GAULES);2021-06-09
1069; Mais que 8 Minutos #074 (Tico Santa Cruz);2021-06-09
1070; Nerds à obra |  Nerdplayer LIVE - Minecraft RTX (ep. 1);2021-06-09
1071; Trailer Mortal Kombat -  AGORA VAI!;2021-06-09
1072; Trailer Venom 2 - Que venha o Carnage;2021-06-09
1073; LOKI: Vilão, Herói e Variante;2021-06-09
1074; Desculpas sinceras são suficientes para o perdão? | Papo Rápido | Papo de Segunda;2021-06-09
1075; Paternidade: homens sofrem pressão? | Papo Rápido | Papo de Segunda;2021-06-09
1076; Manifestações e ativismo nas redes sociais | Papo Rápido | Papo de Segunda;2021-06-09
1077; Luciano Huck fala sobre cenário político no Brasil | Papo Rápido | Papo de Segunda;2021-06-09
1078; BRUNO PLAYHARD - Flow Podcast #319;2021-06-09
1079; IBERÊ THENÓRIO - Flow Podcast #241;2021-06-09
1080; ONDE ESTÃO TODOS ALIENÍGENAS? Especial Nostalgia Ciência;2021-06-09
1081; Como Encontrar Planetas Alienígenas;2021-06-09
1082; KIM KATAGUIRI - Flow Podcast #367;2021-06-09
1083; QUEM É RENAN CALHEIROS;2021-06-09
1084; Mais que 8 Minutos #073 (Rafael Ilha);2021-06-09
1085; MARCELO QUEIROGA NA CPI: OUTRO RESUMO;2021-06-09
1086; Thiaguinho conta como conheceu João Vicente, fala sobre carreira e racismo | Lives da Quarentena;2021-06-09
1087; O que é ser Pai? | Papo Rápido | Papo de Segunda;2021-06-09
1088; Pode tudo em nome de Deus? | Papo Rápido | Papo de Segunda;2021-06-09
1089; Invisíveis: qual é a verdadeira situação dos moradores de rua? | Papo Rápido | Papo De Segunda;2021-06-09
1090; Fresno - 02 - Manifesto (feat. Lenine e Emicida) [Eu Sou A Maré Viva];2021-06-09
1091; Fresno - 01 - À Prova de Balas [Eu Sou A Maré Viva];2021-06-09
1092; Fresno - 05 - Icarus [Eu Sou A Maré Viva];2021-06-09
1093; Fresno - 04 - O Único A Perder [Eu Sou A Maré Viva];2021-06-09
1094; Fresno - 01 - Sexto Andar (A Sinfonia de Tudo Que Há);2021-06-09
1095; Arctic Monkeys - Hold On, We're Going Home (Drake) in the Live Lounge;2021-06-09
1096; Arctic Monkeys - Why'd You Only Call Me When You're High?;2021-06-09
1097; A gente precisa ter esperança e sempre sonhar | Papo Rápido | Papo de Segunda;2021-06-09
1098; Hozier - Take Me To Church (Other Voices Series 19);2021-06-09
1099; FROID TRETOU COM A CYNTHIA LUZ ? | ENXUGA GELO PODCAST;2021-06-09
1100; La Cámara de Acción Más PEQUEÑA del Mundo - Insta 360 GO 2;2021-06-09
1101; Precisamos sair da zona de conforto? | Caco Barcellos | Papo Rápido | Papo de Segunda;2021-06-09
1102; Política de contribuição ou de lacração? | Papo Rápido | Papo De Segunda;2021-06-09
1103; Dá para ter esperança no futuro? | Luciano Huck | Papo Rápido | Papo de Segunda;2021-06-09
1104; Felipe Neto mandou um video pro Monark;2021-06-09
1105; A Teoria do Movimento | Episódio 2;2021-06-09
1106; A ENTROPIA EXPLICADA;2021-06-09
1107; O Princípio da Incerteza Explicado;2021-06-08
1108; Os Problemas da Mecânica Quântica;2021-06-08
1109; A Partícula Fantasma da Física;2021-06-08
1110; O Entrelaçamento Quântico Explicado;2021-06-08
1111; Física Quântica EXPLICADA;2021-06-08
1112; O Big Bang Explicado;2021-06-08
1113; O que é a MATÉRIA ESCURA?;2021-06-08
1114; O Enigma da Antimatéria;2021-06-08
1115; O Fim do Universo;2021-06-08
1116; Uma Supernova Poderia Destruir a Terra?;2021-06-08
1117; E Se a Terra Parasse de Girar?;2021-06-08
1118; A História da Velocidade da Luz;2021-06-08
1119; A Relatividade Geral Explicada;2021-06-08
1120; A Gravidade NÃO é uma Força;2021-06-08
1121; CARLINHOS MAIA - PODDELAS #012;2021-06-08
1122; PETS DA PAVANELLI E JANNINI, MOMENTO THUG LIFE DA RACHEL APOLLONIO | NOSSO SNAP #16;2021-06-08
1123; COUVE-FLOR GRATINADA DO DH E BOO | MUSICOOK;2021-06-08
1124; COMO ACABAR COM PONTAS DUPLAS | Nosso Truque;2021-06-08
1125; Sem rodeio | Sr. K Responde;2021-06-08
1126; Como funciona o nosso editorial em 2021?;2021-06-08
1127; QUEM É WAGNER MOURA;2021-06-08
1128; OS GRANDES CLÁSSICOS DA DECORAÇÃO BRASILEIRA | Diva Depressão;2021-06-08
1129; ITENS DE LUXO (DES) NECESSÁRIOS | Diva Depressão;2021-06-08
1130; AS CASAS MAIS DIFERENTONAS DOS FAMOSOS | Diva Depressão;2021-06-08
1131; Com o TIM Pré TOP, a música não para | TIM;2021-06-08
1132; Evolução e dispersão dos HOMINÍDEOS (Parte 2: demasiado humanos) (#Pirula 338.2);2021-06-08
1133; Evolução e dispersão dos HOMINÍDEOS (Parte 1: origem das espécies) (#Pirula 338.1);2021-06-08
1134; Como Seria Viver em 4 Dimensões? (4ª Dimensão Explicada);2021-06-08
1135; A FESTA DE 18 ANOS DA LARISSA MANOELA | Diva Depressão;2021-06-08
1136; FESTA DE 21 ANOS DA FLÁVIA PAVANELLI | Diva Depressão;2021-06-08
1137; O CASAMENTO DO CARLINHOS MAIA | Diva Depressão;2021-06-08
1138; Analisando CASA DE RICO: NIINA SECRETS | Diva Depressão;2021-06-08
1139; Analisando CASA DE RICO: NAH CARDOSO | Diva Depressão;2021-06-08
1140; Analisando CASA DE RICO: KIM KARDASHIAN | Diva Depressão;2021-06-08
1141; PANDEMIA FOI A PORTA DE ENTRADA PARA OS PODCASTS? com Igor 3K;2021-06-08
1142; TWITTER É RING COM PLATEIA E O ÓDIO ENGAJA com Bruna Louise;2021-06-08
1143; Conta Digital Banco PAN | A conta que é todinha pra você;2021-06-08
1144; NOS MONTAMOS DE DRAG PRA PARADA DE SP AO VIVO! | Diva Depressão;2021-06-07
1145; JORNAL DA DIVA: Polêmica com Patrícia Abravanel, Treta com Globais, Fofoca Edificante;2021-06-07
1146; THE ECONOMIST QUER MESMO QUE BOLSONARO SEJA ELIMINADO?;2021-06-07
1147; Flume & Chet Faker - Drop the Game [Official Music Video];2021-06-07
1148; no buses // arctic monkeys lyrics;2021-06-07
1149; ANALISANDO A ESTREIA (COM SURPRESAS) DE 'A FAZENDA 12' | Diva Depressão;2021-06-07
1150; XERETANDO AS MANSÕES À VENDA DOS FAMOSOS | Diva Depressão;2021-06-07
1151; Mais que 8 Minutos #058 (Pirulla);2021-06-07
1152; ÁTILA POLITIZADO (2) POR PIRULA | Cortes o Nosso Podcast;2021-06-07
1153; Data Science: Introdução a Ciência de Dados (Primeira aula prática programando em Python);2021-06-07
1154; O que é ciência de dados | Nerdologia Tech;2021-06-07
1155; Episódio 2 – É Possível Iniciar Uma Carreira em Data Science Depois dos 40 Anos?;2021-06-07
1156; Episódio 1 - Cientista de Dados, Por Onde Começar?;2021-06-07
1157; Cientista de Dados: O que faz? Quanto ganha? Como se tornar um?;2021-06-07
1158; O QUE EU FARIA, SE TIVESSE QUE COMEÇAR DATA SCIENCE HOJE.;2021-06-07
1159; Analista de Dados ou Cientista de Dados? Qual devo me tornar?;2021-06-07
1160; Cientista de Dados vs Analista de Dados vs Engenheiro de Dados - Entenda as profissões.;2021-06-07
1161; Qual A Diferença Entre o Data Analyst e o Data Scientist??;2021-06-07
1162; Data Science: É de comer?;2021-06-07
1163; Data Scientist vs Data Analyst | Which Is Right For You?;2021-06-07
1164; FREDDIE MERCURY (QUEEN) - Nostalgia;2021-06-07
1165; STEPHEN HAWKING - Documentário Nostalgia;2021-06-07
1166; Nós Estamos Vivendo em um Multiverso?;2021-06-07
1167; Por que você NÃO LEMBRA do Futuro?;2021-06-07
1168; Por que é tão Difícil de Fazer FUSÃO NUCLEAR?;2021-06-07
1169; DEEP LEARNING EXPLICADO;2021-06-07
1170; PEDRO LOOS (CIÊNCIA TODO DIA) - Flow Podcast #55;2021-06-07
1171; A História COMPLETA da GRAVITAÇÃO UNIVERSAL | Episódio 9;2021-06-07
1172; GREG NEWS | CERCADINHO;2021-06-07
1173; O BANQUEIRO QUE TEM UMA BANCADA NA CÂMARA DOS DEPUTADOS;2021-06-07
1174; A Fosfoeta-cloroquina (#Pirula 351);2021-06-07
1175; NÃO É GABINETE PARALELO, É SHADOW CABINET;2021-06-07
1176; RAPHAËL LIMA (IDEIAS RADICAIS) - Flow Podcast #388;2021-06-07
1177; VAI TER COPA AMÉRICA?;2021-06-07
1178; #ParadaSPaoVivo - 25ª Parada do Orgulho LGBT+ de São Paulo;2021-06-06
1179; Fresno - 05 - Icarus [Eu Sou A Maré Viva];2021-06-06
1180; Fresno - 04 - O Único A Perder [Eu Sou A Maré Viva];2021-06-06
1181; Eu Sou a Maré Viva;2021-06-06
1182; Fresno - 03 - Eu Sou A Maré Viva [Eu Sou A Maré Viva];2021-06-06
1183; Fresno - 01 - À Prova de Balas [Eu Sou A Maré Viva];2021-06-06
1184; Fresno - 02 - Manifesto (feat. Lenine e Emicida) [Eu Sou A Maré Viva];2021-06-06
1185; Society;2021-06-06
1186; redbone x childish gambino;2021-06-06
1187; The Pretty Reckless - Make Me Wanna Die;2021-06-06
1188; The Pretty Reckless - 25 (Official Music Video);2021-06-06
1189; Arctic Monkeys - Why'd You Only Call Me When You're High? (Live);2021-06-06
1190; Olivia Rodrigo - good 4 u (Live From Saturday Night Live/2021);2021-06-06
1191; Tame Impala - The Less I Know the Better (Official Audio);2021-06-06
1192; A comunidade BODY POSITIVE me responde;2021-06-06
1193; Por Que Cancelei TODOS os Membros do Canal!?;2021-06-06
1194; RASHID E KAMAU DÃO PAPO RETO SOBRE KAROL E PROJOTA NO BBB | rap, falando: cortes;2021-06-06
1195; ANALISANDO A ÁRVORE DE NATAL DOS FAMOSOS feat. LORELAY FOX |  Diva Depressão;2021-06-04
1196; CASAIS QUE 2020 UNIU E SEPAROU - RetrospecDIVA;2021-06-04
1197; OS MAIORES SURTOS DE 2020 - RetrospecDIVA;2021-06-04
1198; OS MAIORES MICOS DE 2020 - RetrospecDIVA;2021-06-04
1199; OS MOMENTOS MAIS ENGRAÇADOS E ALEATÓRIOS DA TV BRASILEIRA - PARTE 2 | Diva Depressão;2021-06-04
1200; OS MOMENTOS MAIS ENGRAÇADOS E ALEATÓRIOS DA TV BRASILEIRA | Diva Depressão;2021-06-04
1201; OS PIORES PROGRAMAS DE TV TODOS OS TEMPOS | Diva Depressão;2021-06-04
1202; Mais que 8 Minutos #070 (Diogo Defante);2021-06-04
1203; SEM QUERER, JULIANA PAES ARRASTA CELEBRIDADES PARA DEBATE POLÍTICO;2021-06-04
1204; PAULO BILYNSKYJ - Inteligência Ltda. Podcast #168;2021-06-04
1205; Kodaline - All I Want (Part 1);2021-06-04
1206; Hozier - Work Song (Video);2021-06-04
1207; Billie Eilish - everything i wanted;2021-06-04
1208; The Lumineers - Cleopatra;2021-06-04
1209; Leon Bridges - River (Official Music Video);2021-06-04
1210; Current Joys - A Different Age;2021-06-04
1211; Chet Faker - Talk Is Cheap [Live At The Enmore];2021-06-04
1212; Kings Of Leon - Beautiful War (Official Music Video);2021-06-04
1213; Noah Kahan - Anyway (Official Audio);2021-06-04
1214; The Lumineers - Ophelia;2021-06-04
1215; Bon Iver & St. Vincent - Roslyn (Lyrics);2021-06-04
1216; The Cinematic Orchestra - 'To Build A Home';2021-06-04
1217; Fallen - Gert Taberner;2021-06-04
1218;" The Lumineers - ""Stubborn Love"" (Official Video)";2021-06-04
1219; Kings Of Leon - Use Somebody (Official Video);2021-06-04
1220; Billie Eilish, Khalid - lovely;2021-06-04
1221; Billie Eilish - Your Power (Official Music Video);2021-06-04
1222; The Lumineers - Angela;2021-06-04
1223; Joji - SLOW DANCING IN THE DARK;2021-06-04
1224; Tame Impala - The Less I Know the Better (Official Audio);2021-06-04
1225; The Neighbourhood -  Say My Name/Cry Me A River [LEGENDADO];2021-06-04
1226; The Lumineers - Sleep On The Floor (Official Video);2021-06-04
1227; DA CUNHA E GABRIEL MONTEIRO - Flow Podcast #386;2021-06-03
1228; DECORAÇÕES DE CASAS QUE FORAM LONGE DEMAIS | Diva Depressão;2021-06-03
1229; SPACE TODAY E NUNCA VI 1 CIENTISTA - Flow Podcast #330;2021-06-03
1230; Billie Eilish - Your Power (Live On The Late Show with Stephen Colbert/2021);2021-06-03
1231; UM ÍCONE CHAMADO TATÁ WERNECK | Diva Depressão;2021-06-03
1232; MOMENTOS DE MICOS E GAFES NO ENCONTRO COM ‘FÁTIMA BERNARDES’ | Diva Depressão;2021-06-03
1233; ANALISANDO TEMAS DO ‘CASOS DE FAMÍLIA’ | Diva Depressão;2021-06-03
1234; SPACE TODAY - Flow Podcast #231;2021-06-03
1235; qual o CHEIRO do ESPAÇO?;2021-06-03
1236; experiência de QUASE MORTE explicada;2021-06-03
1237; The Lumineers - The Ballad Of Cleopatra;2021-06-03
1238; The Neighbourhood - Sweater Weather (live on Fee's Kompany);2021-06-03
1239; Dua Lipa covers Arctic Monkeys Do I Wanna Know? in the Live Lounge;2021-06-03
1240; Paramore - Use Somebody (BBC Radio 1's Live Lounge 2009) HD;2021-06-03
1241; Kings Of Leon - Use Somebody (Official Video);2021-06-03
1242; Chasing Cars;2021-06-03
1243; Snow Patrol - Open Your Eyes (Official Video);2021-06-03
1244; Nirvana - The Man Who Sold The World (Live On MTV Unplugged, 1993 / Unedited);2021-06-03
1245; David Bowie – Life On Mars? (Official Video);2021-06-03
1246; David Bowie – Space Oddity (Official Video);2021-06-03
1247; The Animals - House of the Rising Sun (1964) HQ/Widescreen ♫♥ 57 YEARS AGO;2021-06-03
1248; Joy Division - Love Will Tear Us Apart, 1995 Remastered Version (Official Video);2021-06-03
1249; redbone x childish gambino;2021-06-03
1250; everything i wanted x billie eilish;2021-06-03
1251; Bring Me The Horizon cover when the party's over by Billie Eilish;2021-06-03
1252; Bring Me The Horizon - Can You Feel My Heart;2021-06-03
1253; Tom Odell - Another Love (Official Video);2021-06-03
1254; Joji - SLOW DANCING IN THE DARK;2021-06-03
1255; The Lumineers - Sleep On The Floor (Official Video);2021-06-03
1256; Mac Miller - My Favorite Part (feat. Ariana Grande) (Live);2021-06-03
1257; Olivia Rodrigo - good 4 u (Lyric Video);2021-06-03
1258; Olivia Rodrigo - drivers license (Official Video);2021-06-03
1259; Billie Eilish - bitches broken hearts (Audio);2021-06-03
1260; Billie Eilish - Lost Cause (Official Music Video);2021-06-03
1261; ANALISANDO PROGRAMAS DA TV JAPONESA QUE PARECEM BRASILEIROS | Diva Depressão;2021-06-03
1262; AO VIVO - FOFOCANDO SOBRE 'BBB21' E TOMANDO CAFÉ DA TARDE | Diva Depressão;2021-06-03
1263; REAGINDO A FOFOCAS DE REVISTAS ANTIGAS - PARTE 2 | Diva Depressão;2021-06-03
1264; OS TIPOS DE CELEBRIDADES BRASILEIRAS | Diva Depressão;2021-06-03
1265; OS PIORES PRESENTES DE AMIGO SECRETO DOS FAMOSOS | Diva Depressão;2021-06-03
1266; MARIDO TÓXICO, MULHER só QUER CASAR e mais...;2021-06-03
1267; PROBLEMAS com o PESO e ELE NÃO gosta DELA!!!;2021-06-03
1268; NÃO ENTRE na TRETA ALHEIA!;2021-06-02
1269; Mais que 8 Minutos #069 (EMME WHlTE);2021-06-02
1270; Mais que 8 Minutos #071 (Leandro Karnal);2021-06-02
1271; O MACHISTA MASCARADO DE ESQUERDO MACHO com Maurício Meireles;2021-06-02
1272; alanzoka jogando Biomutant - Parte 1;2021-06-02
1273; FABIO GIGA - Flow Podcast #385;2021-06-02
1274; Trailer Eternos - Os deuses bregas;2021-06-02
1275; Para pequenos grandes acontecimentos da atualidade | Veterinário | Uber;2021-06-02
1276; Com o TIM Pré TOP, a música não para | TIM;2021-06-02
1277; LUCAS INUTILISMO & DIOGO DEFANTE - Podpah #129;2021-06-02
1278; CAUÊ MOURA FALANDO BALELA #048;2021-06-01
1279; Criando barra de percentual de leitura com JS | Code/Drops #37;2021-06-01
1280; Billie Eilish - bad guy;2021-06-01
1281; Billie Eilish - my future;2021-06-01
1282; Billie Eilish - hostage;2021-06-01
1283; Billie Eilish - Bellyache;2021-06-01
1284; Lana Del Rey - Brooklyn Baby (Official Audio);2021-06-01
1285; Billie Eilish, ROSALÍA - Lo Vas A Olvidar (Official Music Video);2021-06-01
1286; Billie Eilish, Khalid - lovely;2021-06-01
1287; The Neighbourhood -  Say My Name/Cry Me A River [LEGENDADO];2021-06-01
1288; Billie Eilish - xanny;2021-06-01
1289; The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video);2021-06-01
1290; Childish Gambino - Sober;2021-06-01
1291; The Weeknd - Save Your Tears (Official Music Video);2021-06-01
1292; Billie Eilish - Your Power (Official Music Video);2021-06-01
1293; Tame Impala - The Less I Know the Better (Official Audio);2021-06-01
1294; Olivia Rodrigo - good 4 u (Official Video);2021-06-01
1295; Pé na Porta, Gaveta na Cara | Os primeiros episódios (NerdOffice);2021-06-01
1296; Scorsese, LET ME RETRUCAR | Gaveta;2021-06-01
1297; Entenda como a edição de TERROR te dá medo | Gaveta;2021-06-01
1298; A EDIÇÃO DE MATRIX é boa ou é só efeito? | GAVETA;2021-06-01
1299; O silêncio revelador de Sound of Metal | GAVETA;2021-06-01
1300; Tosco de PROPÓSITO? Supergirl, Legado de Júpiter, Guardiões e mais | GAVETA;2021-06-01
1301; alanzoka jogando Red Dead Redemption 2 no PC - Parte 2;2021-06-01
1302; alanzoka jogando Red Dead Redemption 2 no PC - Parte 1;2021-06-01
1303; alanzoka só quer ser uma pessoa do bem no First Class Trouble;2021-06-01
1304; PC Building Simulator - ManuteNoobs de Computadores;2021-06-01
1305; NOSTALDIVA - ANALISANDO XUXA E OS DUENDES | Diva Depressão;2021-06-01
1306; NOSTALDIVA - ANALISANDO SAGA CREPÚSCULO | Diva Depressão;2021-06-01
1307; NOSTALDIVA - MOMENTOS ICÔNICOS DE 'REBELDE BRASIL' | Diva Depressão;2021-06-01
1308; NOSTALDIVA - MULHERES RICAS: O REALITY OSTENTAÇÃO | Diva Depressão;2021-06-01
1309; ANALISANDO O AMIGO SECRETO DA NAH CARDOSO | Diva Depressão;2021-06-01
1310; VINGANÇA: YOUTUBERS JULGANDO NOSSOS LOOKS!!! | Diva Depressão;2021-06-01
1311;" ""ME APAIXONEI PELO MEU EX-CUNHADO!"" feat. Bielo Pereira | Diva Depressão";2021-06-01
1312;" ""ME APAIXONEI PELO MEU EX-CUNHADO!"" feat. Bielo Pereira | Diva Depressão";2021-06-01
1313; Olivia Rodrigo Tiktok 8/11/20;2021-06-01
1314; Mais que 8 Minutos #070 (Diogo Defante);2021-06-01
1315; Novidades do SQLAlchemy (orm async, 2.0 e queries) - Live de Python #166;2021-06-01
1316; HOMENS DEVEM SE METER EM BRIGA DE MULHERES com Lucas Inutilismo;2021-06-01
1317; Olivia Rodrigo - deja vu (Official Video);2021-05-31
1318; Olivia Rodrigo - drivers license (Official Video);2021-05-31
1319; OLIVIA RODRIGO: O SUCESSO, QUERIDINHA DA TAYLOR, TRIÂNGULO AMOROSO | Foquinha FBI;2021-05-31
1320; OLIVIA RODRIGO EM SOUR: TEORIA SOBRE AS MÚSICAS, REFERÊNCIAS AO EX, HOMENAGEM À TAYLOR |Foquinha FBI;2021-05-31
1321; KIM KARDASHIAN: DE ESTRELA DE REALITY A EMPRESÁRIA BILIONÁRIA (LINHA DO TEMPO) | Foquinha FBI;2021-05-31
1322; GANHE DINHEIRO EM 2021! TOP 6 INVESTIMENTOS DO ANO! De Tesouro a Bitcoins!;2021-05-31
1323; COMO COMEÇAR A INVESTIR? Passo a passo prático e completo! Nath Me Ajuda #53;2021-05-31
1324; GUIA BEM BÁSICO pra começar a investir com POUCO DINHEIRO! Saiba tudo em 10 minutos;2021-05-31
1325; Xadrez Verbal e Atila Iamarino - Especial Coronavírus #37;2021-05-31
1326; BRUNO FABIL E YOUNG MASCKA [COMETA] - Flow Podcast #383;2021-05-31
1327; CASTANHARI E COCIELO - PROGRAMA EU FICO LOKO #100;2021-05-31
1328; Hard Sun;2021-05-30
1329; Long Nights;2021-05-30
1330; Eddie Vedder - Guaranteed [original version];2021-05-30
1331; Society;2021-05-30
1332; Poeira Estelar - Lucas Silveira (Fresno) | Salaquar;2021-05-30
1333; Fresno - Duas Lágrimas (Ao Vivo);2021-05-30
1334; Fresno - Acordar (Ao Vivo);2021-05-30
1335; Fresno - Farol;2021-05-30
1336; Agnes Nunes - Me Desculpa Jay-Z (Baco Exu do Blues) #19;2021-05-30
1337; i kissed a girl - katy perry (cover);2021-05-30
1338; The Lumineers - Sleep On The Floor (Official Video);2021-05-30
1339; The Cure - Just Like Heaven;2021-05-29
1340; The Cure - Friday I'm In Love (Official Video);2021-05-29
1341; Joy Division - Love Will Tear Us Apart, 1995 Remastered Version (Official Video);2021-05-29
1342; The Smiths - Heaven Knows I'm Miserable Now (Official Music Video);2021-05-29
1343; The Smiths - This Charming Man (Official Music Video);2021-05-29
1344; The Smiths - There Is A Light That Never Goes Out;2021-05-29
1345; Zé Ramalho - Chão de Giz (Ao Vivo);2021-05-29
1346; Seu Jorge - Tive Razão;2021-05-29
1347; Pitty - Matriz Ao Vivo na Bahia (DVD);2021-05-29
1348; Tim Bernardes - Não;2021-05-29
1349; Billie Eilish - everything i wanted;2021-05-29
1350; Billie Eilish, Khalid - lovely;2021-05-29
1351; Billie Eilish - idontwannabeyouanymore (Vertical Video);2021-05-29
1352; The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video);2021-05-29
1353; Billie Eilish - Your Power (Official Music Video);2021-05-29
1354; The Weeknd - Save Your Tears (Official Music Video);2021-05-29
1355; Die For You;2021-05-29
1356; 505;2021-05-29
1357; Drake - Hotline Bling;2021-05-29
1358; Kendrick Lamar - HUMBLE.;2021-05-29
1359; Childish Gambino - Sweatpants (Official Music Video) ft. Problem;2021-05-29
1360; No Role Modelz;2021-05-29
1361; NF - When I Grow Up Ft. Logic, Joyner Lucas & Eminem (Remix);2021-05-29
1362; Eminem - Not Alike (feat. Royce da 5'9_)(Audio 320kbps) - Kamikaze;2021-05-29
1363; Eminem - Greatest ( Kamikaze );2021-05-29
1364; Eminem - The Ringer (Official Audio) HD;2021-05-29
1365; KILLSHOT [Official Audio];2021-05-29
1366; Kamikaze [Official Audio];2021-05-29
1367; Mac Miller - Self Care (Official Music Video);2021-05-29
1368; Passionfruit;2021-05-29
1369; Childish Gambino - 3005 (Official Video);2021-05-29
1370; Childish Gambino - Redbone (Official Audio);2021-05-29
1371; Tame Impala - The Less I Know the Better (Official Audio);2021-05-29
1372; Joji - SLOW DANCING IN THE DARK;2021-05-29
1373; Billie Eilish - when the party's over;2021-05-29
1374; Billie Eilish - idontwannabeyouanymore | A COLORS SHOW;2021-05-29
1375; Billie Eilish - bury a friend;2021-05-29
1376; Billie Eilish - No Time To Die (Audio);2021-05-29
1377; Billie Eilish - everything i wanted (Audio);2021-05-29
1378; Billie Eilish - Your Power (Live On The Late Show with Stephen Colbert/2021);2021-05-29
1379; PODCAST #07: BRUNO FABIL - DACUNHA NA ESCUTA- PCSP;2021-05-29
1380; Coisas que NINGUÉM deveria fazer na infância | Que História É Essa, Porchat?;2021-05-28
1381; Loucuras em família: do teste de DNA ao enterro do vovô por engano | Que História É Essa, Porchat?;2021-05-28
1382; Histórias de festas INACREDITÁVEIS e com muito álcool! | Que História É Essa, Porchat?;2021-05-28
1383; Veja as histórias que foram premiadas no Troféu Que História é Essa, Porchat?;2021-05-28
1384; Juliana Paes diz o que não pode faltar no céu | Que História é essa, Porchat?;2021-05-28
1385; Ícaro Silva relembra perrengue que passou para curtir um Réveillon | Que História É Essa, Porchat?;2021-05-28
1386; Sophia Abrahão lembra do dia que largou Sergio Malheiros numa ilha | Que História É Essa, Porchat?;2021-05-28
1387; Como construir sua própria narrativa? | Juliette | Mini Saia | Saia Justa;2021-05-28
1388; Para pequenos grandes acontecimentos da atualidade | Veterinário | Uber;2021-05-28
1389; RODRIGO SILVA ARQUEOLOGIA - Inteligência Ltda. Podcast #161;2021-05-28
1390;" Live 27/05/21 - A ""variante indiana""";2021-05-28
1391; Novos Sabores Hellmann's;2021-05-28
1392; Pitty - {Des}concerto Ao Vivo (DVD);2021-05-28
1393; Pitty - Matriz Ao Vivo na Bahia (DVD);2021-05-28
1394; Cruella estreia em 28 de maio.;2021-05-27
1395; Quatro nomes. Quatro vozes, com Monja Coen, Leandro Karnal Mario Sergio Cortella e Clóvis de Barros;2021-05-27
1396; Uma aula com a professora Adriana Calcanhotto | Entrevista com Leandro Karnal;2021-05-27
1397; A LUTA CONTRA O FASCISMO DENTRO DAS POLÍCIAS;2021-05-27
1398; POKÉMON E STAR WARS DENUNCIAM PREDADORES DA CIÊNCIA;2021-05-27
1399; O QUE ESPERAR DO NOVO PREFEITO DE SÃO PAULO;2021-05-27
1400; ERNESTO ARAÚJO NA CPI: UM RESUMO;2021-05-27
1401; EDUARDO PAZUELLO NA CPI: UM RESUMO;2021-05-27
